Stock,Index,Alpha,Beta,R2,Correlation
HDFCBANK.NS,^NSEBANK,0.0006472931062693358,0.9807722660411008,0.6175917180080879,0.7858700388792591
HDFCBANK.NS,^NSEI,0.0010793686192410944,0.9144255737122916,0.4461361725741182,0.6679342576737011
HDFCLIFE.NS,^CNXAUTO,0.0009210881182340504,0.4350810181477118,0.12888601153508572,0.359006979786028
HDFCLIFE.NS,^CNXFMCG,0.000818706838430822,0.42655320434951727,0.060226710926318705,0.24541130969521066
HDFCLIFE.NS,^CNXIT,0.0007206099073738674,0.19074952019070987,0.029619346707295713,0.17210272138259664
HDFCLIFE.NS,^CNXPHARMA,0.0005381993403870851,0.3437156292428509,0.05849205709553629,0.24185131195744283
HDFCLIFE.NS,^NSEBANK,0.00033884313753148075,0.7195188228586481,0.20319799681443984,0.45077488485322686
HDFCLIFE.NS,^NSEI,0.0006666672578402242,0.7983801187669604,0.20790270018581392,0.45596348558389393
HEROMOTOCO.NS,^CNXAUTO,-0.0003495071560110101,0.8254013539412038,0.4131997963677092,0.6428061888063223
HEROMOTOCO.NS,^CNXFMCG,-0.0006170438925594459,0.667035743441439,0.13119134195773374,0.36220345381806285
HEROMOTOCO.NS,^CNXIT,-0.000731685754864765,0.3589825709807339,0.09344574419402885,0.305688966425072
HEROMOTOCO.NS,^CNXPHARMA,-0.0010706398511325513,0.6222675332358032,0.17077207349331447,0.4132457785547413
HEROMOTOCO.NS,^NSEBANK,-0.001207643925042293,0.6828477821305348,0.1630223472922362,0.40376025967427287
HEROMOTOCO.NS,^NSEI,-0.0008776784437125823,0.9793976326256787,0.2786910586990312,0.5279119800677298
HINDALCO.NS,^CNXAUTO,0.0010366539076055023,0.7951324619196499,0.276771555939896,0.5260908248010945
HINDALCO.NS,^CNXFMCG,0.0007149608621289042,0.5185025057477215,0.05721651772375558,0.2391997444057068
HINDALCO.NS,^CNXIT,0.0007659867188915114,0.4984810562528701,0.13005374383739454,0.36062964913799656
HINDALCO.NS,^CNXPHARMA,0.0003037671123274551,0.8161422251699695,0.21203473136220152,0.46047229163349385
HINDALCO.NS,^NSEBANK,0.00012284547088343788,0.8990080419849067,0.20395728910829947,0.45161630739854774
HINDALCO.NS,^NSEI,0.0005576981081256762,1.294540730188299,0.35143832129481123,0.592822335354203
HINDUNILVR.NS,^CNXAUTO,2.8034952763859178e-05,0.23223104797808686,0.05606136049720445,0.23677280354213914
HINDUNILVR.NS,^CNXFMCG,0.0004123991944273923,1.0791921530070294,0.5885696225438877,0.7671829133550145
HINDUNILVR.NS,^CNXIT,-6.393857890508524e-05,0.1253573324646911,0.01953015130813085,0.13975031773892624
HINDUNILVR.NS,^CNXPHARMA,-0.00016287800955298049,0.10711016229888301,0.008671959597515322,0.0931233568849151
HINDUNILVR.NS,^NSEBANK,-0.00020956084722452124,0.18147863153754992,0.01973529630668658,0.14048237009207531
HINDUNILVR.NS,^NSEI,-0.00010710236494139837,0.4339533570480807,0.09377441518774188,0.3062260850870511
ICICIBANK.NS,^CNXAUTO,0.0012732421689636135,0.4431120200509671,0.21852955922612494,0.46747145284618746
ICICIBANK.NS,^CNXFMCG,0.0011872529587063545,0.4698865815482464,0.11946657984352005,0.34563937831722835
ICICIBANK.NS,^CNXIT,0.0011166030143405887,0.26870965132720465,0.0960799378349323,0.3099676399802605
ICICIBANK.NS,^CNXPHARMA,0.0008964822972948869,0.27519987092657955,0.061293214939705964,0.24757466538340692
ICICIBANK.NS,^NSEBANK,0.000620637314966491,0.8978040085427602,0.517149130338255,0.7191308158730618
ICICIBANK.NS,^NSEI,0.0010224499545637665,0.9110359054676858,0.442516333586635,0.6652190117447297
INDUSINDBK.NS,^CNXAUTO,-0.0019323753921355994,0.6244517982446165,0.07692033964490141,0.27734516337030624
INDUSINDBK.NS,^CNXFMCG,-0.0023185363584897127,0.14822224148960264,0.0021069164886139413,0.04590115999203214
INDUSINDBK.NS,^CNXIT,-0.0022680564965316106,0.19870175814550012,0.009311718246317824,0.09649724476024144
INDUSINDBK.NS,^CNXPHARMA,-0.0024843945921213155,0.507367926715344,0.03692514366685273,0.1921591623286613
INDUSINDBK.NS,^NSEBANK,-0.0027359330945688487,0.9438087323633304,0.10129334785612765,0.3182661588295682
INDUSINDBK.NS,^NSEI,-0.002332466918378893,0.7349918260699987,0.05104856768067445,0.2259393008767505
INFY.NS,^CNXAUTO,-0.0005227519823747301,0.5033577861929275,0.16229817265043145,0.4028624736190149
INFY.NS,^CNXFMCG,-0.0006488010548932666,0.478748296870814,0.0713759248996082,0.2671627311202071
INFY.NS,^CNXIT,-0.000237323292849208,1.0307957711992475,0.8137450496839609,0.9020781837978131
INFY.NS,^CNXPHARMA,-0.0009506108594026842,0.3119043649850706,0.045314352166459515,0.21287168004800366
INFY.NS,^NSEBANK,-0.0010873740284611667,0.530742880494103,0.10401548378440573,0.3225143156270827
INFY.NS,^NSEI,-0.0008079027435158914,1.0318345708542696,0.3267047041652579,0.5715808815603074
ITC.NS,^CNXAUTO,-0.00031263924169629896,0.3495261262907516,0.1461278234203287,0.3822666914868842
ITC.NS,^CNXFMCG,-4.9162197545540745e-05,1.0132497352856913,0.5970130748042553,0.7726662117656338
ITC.NS,^CNXIT,-0.00044059331404239926,0.2050722947771639,0.06014100279192791,0.24523662612246103
ITC.NS,^CNXPHARMA,-0.0006073250579269615,0.20288504737675592,0.035801937605490886,0.1892139994965773
ITC.NS,^NSEBANK,-0.0007332133065917416,0.4474470054560852,0.1380468275057024,0.37154653477821886
ITC.NS,^NSEI,-0.000515197481170923,0.6629453450177867,0.2518281467338691,0.5018248167775969
JIOFIN.NS,^CNXAUTO,0.0009228868193643601,1.03807335624198,0.3614848871699261,0.6012361326217233
JIOFIN.NS,^CNXFMCG,0.0006118789640815616,0.8882900591906191,0.12868291111340124,0.35872400409423544
JIOFIN.NS,^CNXIT,0.0005089660016975014,0.555964963691779,0.12396867481873364,0.3520918556552162
JIOFIN.NS,^CNXPHARMA,-1.685849888944494e-05,0.9687020656466857,0.22890081037207466,0.4784357954543898
JIOFIN.NS,^NSEBANK,-0.0003424006340703885,1.3737492529773192,0.3649375783279879,0.6041006359274819
JIOFIN.NS,^NSEI,0.0002901349784643259,1.6023436923939283,0.4125918046555844,0.6423330947846176
JSWSTEEL.NS,^CNXAUTO,0.0010577848262968699,0.7192192146664174,0.30587040613190697,0.5530555181280693
JSWSTEEL.NS,^CNXFMCG,0.0008119916718060141,0.5566452183545796,0.08907361515220591,0.2984520315766101
JSWSTEEL.NS,^CNXIT,0.0008372573796443445,0.4889372435678275,0.1690068048557971,0.41110437221683416
JSWSTEEL.NS,^CNXPHARMA,0.00041446406258277573,0.6270629113310576,0.16907132171208306,0.4111828324627419
JSWSTEEL.NS,^NSEBANK,0.0002406095022723367,0.7871877104154212,0.21122294720411994,0.4595899772668244
JSWSTEEL.NS,^NSEI,0.000623882166022408,1.163020696242882,0.38314659793829786,0.6189883665613582
KOTAKBANK.NS,^CNXAUTO,0.0008118481990732772,0.4350521581817742,0.12936945584037252,0.3596796572512438
KOTAKBANK.NS,^CNXFMCG,0.0007411619866980943,0.4879879007719677,0.07913059323895599,0.2813016054681449
KOTAKBANK.NS,^CNXIT,0.0006499032888316347,0.25105281047779926,0.05150653405774619,0.226950510150883
KOTAKBANK.NS,^CNXPHARMA,0.00043522654632196183,0.30828517858148147,0.04723753317788826,0.21734197288579113
KOTAKBANK.NS,^NSEBANK,0.0001443689472459064,0.9555016798972106,0.3597340914726356,0.5997783686268083
KOTAKBANK.NS,^NSEI,0.0005659452319347568,0.8983173592016448,0.26423106267895446,0.514034106532781
LT.NS,^CNXAUTO,0.0001132376435937122,0.683430269931541,0.3325969624008449,0.5767122006693157
LT.NS,^CNXFMCG,-0.00010013473179447635,0.5681066971031461,0.11172925232016329,0.3342592591390154
LT.NS,^CNXIT,-7.423490457215542e-05,0.49918293161690713,0.21214478843886142,0.4605917806896486
LT.NS,^CNXPHARMA,-0.0004972776988087444,0.5913598654102126,0.1810782850266992,0.4255329423519396
LT.NS,^NSEBANK,-0.0007414434870820235,0.9643843605809784,0.38176821405973405,0.6178739467397328
LT.NS,^NSEI,-0.00028748999435464353,1.241396588246255,0.5256856760039708,0.7250418443124307
M&M.NS,^CNXAUTO,0.0009049630292966684,1.2117976144148563,0.6548533715270274,0.8092301103685078
M&M.NS,^CNXFMCG,0.0004544762524809501,0.8673654867554932,0.16310428565391455,0.4038617160042712
M&M.NS,^CNXIT,0.00033778237089505595,0.5174940833188583,0.14278339820064234,0.3778669054053853
M&M.NS,^CNXPHARMA,-0.00012582068698357017,0.7551094378932717,0.18489982510009884,0.4299997966279737
M&M.NS,^NSEBANK,-0.0003549927944339093,1.0027823883649625,0.25850376220635674,0.5084326525768744
M&M.NS,^NSEI,0.00012172015291537983,1.3459274075467187,0.38699231950237434,0.6220870674611186
